phase,epoch,batch,batches_per_epoch,lr,train_loss,train_ber,train_fer,epoch_time_s,cum_updates,cum_time_s
1,124,200,200,9.43e-05,0.0424,0.0164,0.177,14.352408409118652,24800,1773.7920019626617
1,125,200,200,9.42e-05,0.0424,0.0165,0.177,14.33864951133728,25000,1788.130651473999
1,126,200,200,9.42e-05,0.0433,0.0168,0.177,14.380345821380615,25200,1802.5109972953796
1,127,200,200,9.41e-05,0.0418,0.0163,0.176,14.329838037490845,25400,1816.8408353328705
1,128,200,200,9.4e-05,0.0426,0.0165,0.177,14.29784870147705,25600,1831.1386840343475
1,129,200,200,9.39e-05,0.0422,0.0164,0.176,14.262547254562378,25800,1845.40123128891
1,130,200,200,9.38e-05,0.0435,0.017,0.18,14.272156715393066,26000,1859.673388004303
1,131,200,200,9.37e-05,0.0418,0.0164,0.174,14.253094911575317,26200,1873.9264829158783
1,132,200,200,9.36e-05,0.0427,0.0166,0.178,14.270583152770996,26400,1888.1970660686493
1,133,200,200,9.35e-05,0.0419,0.0162,0.173,14.252724170684814,26600,1902.449790239334
1,134,200,200,9.34e-05,0.0407,0.0157,0.167,14.292666912078857,26800,1916.742457151413
1,135,200,200,9.33e-05,0.0417,0.0162,0.171,14.322955131530762,27000,1931.0654122829437
1,136,200,200,9.32e-05,0.0419,0.0163,0.171,14.362109184265137,27200,1945.4275214672089
1,137,200,200,9.31e-05,0.0414,0.0162,0.172,14.334007024765015,27400,1959.7615284919739
1,138,200,200,9.3e-05,0.0417,0.0163,0.171,14.3049635887146,27600,1974.0664920806885
1,139,200,200,9.29e-05,0.0417,0.0163,0.17,14.224623680114746,27800,1988.2911157608032
1,140,200,200,9.28e-05,0.041,0.0159,0.171,14.23516035079956,28000,2002.5262761116028
1,141,200,200,9.27e-05,0.0418,0.0164,0.171,14.301811933517456,28200,2016.8280880451202
1,142,200,200,9.26e-05,0.0414,0.0163,0.17,14.36115312576294,28400,2031.1892411708832
1,143,200,200,9.25e-05,0.0401,0.0157,0.165,14.396618366241455,28600,2045.5858595371246
1,144,200,200,9.24e-05,0.0408,0.0161,0.168,14.299482583999634,28800,2059.8853421211243
1,145,200,200,9.23e-05,0.0416,0.0161,0.169,14.19451117515564,29000,2074.07985329628
1,146,200,200,9.22e-05,0.0408,0.0158,0.165,14.292524576187134,29200,2088.372377872467
1,147,200,200,9.21e-05,0.0419,0.0164,0.167,14.349835634231567,29400,2102.7222135066986
1,148,200,200,9.2e-05,0.0389,0.0151,0.159,14.381363153457642,29600,2117.1035766601562
1,149,200,200,9.19e-05,0.0401,0.0157,0.164,14.29630708694458,29800,2131.399883747101
1,150,200,200,9.18e-05,0.0409,0.016,0.168,14.322088956832886,30000,2145.7219727039337
1,151,200,200,9.17e-05,0.039,0.0153,0.161,14.339001417160034,30200,2160.0609741210938
1,152,200,200,9.15e-05,0.0402,0.0158,0.163,14.344972133636475,30400,2174.40594625473
1,153,200,200,9.14e-05,0.0401,0.0157,0.165,14.29080867767334,30600,2188.6967549324036
