epoch,learning_rate,loss,ber,fer,train_time_seconds,is_best_loss
288,3.91e-05,0.0272,0.0111,0.101,70.71092534065247,False
289,3.88e-05,0.0271,0.0111,0.1,70.70729517936707,False
290,3.85e-05,0.0274,0.0112,0.101,70.79106879234314,False
291,3.82e-05,0.0279,0.0114,0.102,70.47160172462463,False
292,3.79e-05,0.0279,0.0114,0.103,70.19062113761902,False
293,3.76e-05,0.027,0.011,0.0995,70.51802086830139,True
294,3.73e-05,0.0272,0.0111,0.1,70.05239653587341,False
295,3.7e-05,0.0274,0.0112,0.1,70.76989722251892,False
296,3.67e-05,0.027,0.011,0.0998,70.74890112876892,False
297,3.64e-05,0.0276,0.0113,0.102,70.67721581459045,False
298,3.61e-05,0.0277,0.0113,0.101,70.317307472229,False
299,3.58e-05,0.0277,0.0113,0.102,70.18828988075256,False
300,3.55e-05,0.0271,0.0111,0.0997,70.40231394767761,False
301,3.52e-05,0.0267,0.0109,0.0984,70.63827705383301,True
302,3.49e-05,0.0273,0.0111,0.1,70.70885348320007,False
303,3.46e-05,0.0271,0.011,0.0989,70.14038467407227,False
304,3.43e-05,0.0271,0.0111,0.1,70.05871677398682,False
305,3.4e-05,0.0273,0.0111,0.1,70.67538142204285,False
306,3.37e-05,0.0271,0.0111,0.0996,70.72903609275818,False
307,3.34e-05,0.027,0.011,0.0992,70.44411015510559,False
308,3.31e-05,0.0269,0.011,0.0988,70.28208112716675,False
309,3.29e-05,0.0272,0.0111,0.1,70.66957259178162,False
310,3.26e-05,0.0272,0.011,0.0992,70.73811507225037,False
311,3.23e-05,0.0268,0.011,0.099,70.2462260723114,False
312,3.2e-05,0.0271,0.011,0.0996,70.1209831237793,False
313,3.17e-05,0.0266,0.0109,0.0979,70.52915716171265,True
314,3.14e-05,0.0273,0.0112,0.1,70.77280282974243,False
315,3.11e-05,0.0268,0.0109,0.0986,70.78853344917297,False
316,3.08e-05,0.0273,0.0112,0.1,70.44223856925964,False
317,3.06e-05,0.0267,0.0109,0.0987,70.42110919952393,False
318,3.03e-05,0.0269,0.011,0.0989,70.48229432106018,False
319,3e-05,0.027,0.011,0.1,70.33578872680664,False
320,2.97e-05,0.0268,0.0109,0.0986,70.77581477165222,False
321,2.94e-05,0.0272,0.011,0.0993,70.84350728988647,False
322,2.91e-05,0.0268,0.0109,0.0984,70.39123272895813,False
323,2.89e-05,0.0271,0.011,0.0997,70.36830759048462,False
324,2.86e-05,0.0271,0.011,0.0994,70.53517532348633,False
325,2.83e-05,0.0269,0.0109,0.0984,70.10308480262756,False
326,2.8e-05,0.0271,0.0111,0.0999,70.49309992790222,False
327,2.78e-05,0.0269,0.011,0.0987,70.66678237915039,False
328,2.75e-05,0.0271,0.011,0.0994,70.65220904350281,False
329,2.72e-05,0.0272,0.0111,0.1,70.25788736343384,False
330,2.69e-05,0.0272,0.0111,0.1,69.91711807250977,False
331,2.67e-05,0.027,0.011,0.0995,70.30954813957214,False
332,2.64e-05,0.0271,0.011,0.0993,70.50418615341187,False
333,2.61e-05,0.027,0.011,0.0993,70.26535940170288,False
334,2.58e-05,0.0273,0.0111,0.1,70.83650588989258,False
335,2.56e-05,0.0266,0.0109,0.0978,70.12749910354614,False
336,2.53e-05,0.0266,0.0109,0.0981,69.96222496032715,False
337,2.5e-05,0.0268,0.0109,0.0982,70.47384715080261,False
338,2.48e-05,0.0266,0.0109,0.0983,70.06395626068115,False
339,2.45e-05,0.0269,0.011,0.0985,70.67769598960876,False
340,2.42e-05,0.0264,0.0108,0.0979,70.53264927864075,True
341,2.4e-05,0.0266,0.0108,0.0976,70.41110587120056,False
342,2.37e-05,0.0264,0.0108,0.0969,70.40879559516907,False
343,2.35e-05,0.0272,0.0112,0.0993,70.0263090133667,False
344,2.32e-05,0.0268,0.011,0.0987,70.19911742210388,False
345,2.29e-05,0.0268,0.0109,0.0984,70.61735200881958,False
346,2.27e-05,0.0266,0.0109,0.0983,70.52505302429199,False
347,2.24e-05,0.0266,0.0109,0.0975,70.22114062309265,False
348,2.22e-05,0.0271,0.0111,0.0991,70.1022047996521,False
